pr_id,sha,commit_author_type,added_lines,removed_lines,modified_lines
2762297369,f1299f484de2a7636cb5ed691a858db749c8eeb3,Human,1.0,1.0,2.0
2762301500,06f00be0f1a85cbd19824cf069717ac2c835c204,Agent,188.0,159.0,347.0
2762301500,32af13fd2d33a143b0c21130649d6404055157be,Agent,1.0,3.0,4.0
2762301500,439cde180cd69791f46dedde192c41184ca1f96f,Agent,2065.0,486.0,2551.0
2762301500,485ba5fbe33e82ec8d2e5186100a1b53edddecda,Human,95.0,0.0,95.0
2762301500,48ca10957d2b470cfe1bfbfbfcfe9bc48a5b3b05,Human,3.0,1.0,4.0
2762301500,52e6b3318808bacc0e361332ed2d009de0c0ecc9,Agent,9.0,7.0,16.0
2762301500,63dd9678069888d98ef4af9106493c69729c49f4,Agent,1.0,1.0,2.0
2762301500,6d81ddddff5028ae4d51cdafcfd39cda48372571,Agent,47.0,0.0,47.0
2762301500,78cb7155ee0fb6847f220c7fd2a7891062e6914c,Agent,57.0,0.0,57.0
2762301500,85a6a43d841fe87e0f257ead7c7a428fb1cc470c,Agent,13.0,12.0,25.0
2762301500,864d635179c7e757637a08a55da8e4d230811abe,Human,1.0,1.0,2.0
2762301500,8fd797205cf421f87d1ec37d8379493b9400a479,Agent,2.0,2.0,4.0
2762301500,93cc7e95768d6873696d7b70d5948b9d013c6e26,Human,29.0,4.0,33.0
2762301500,d84f5ff8bf7a10d1bb7ecdc74e4b251490ab0229,Human,5.0,1.0,6.0
2762301500,de9760e2ed55c21ebe587ce85e67dee2956458a1,Agent,5.0,0.0,5.0
2762301500,e4bb036e9a9c53470c74d6749536059419b3417e,Human,0.0,6.0,6.0
2762301500,eaf8ea3fe89d0950239de3fd3c627c11851aa260,Agent,25.0,23.0,48.0
2763678225,1dc8ce2674f4cbad641f60f7ded4b8a3110a6f8b,Agent,4.0,5.0,9.0
2763678225,454ab55a261987f139c071a13f7fcaa6dbcfda06,Agent,9.0,9.0,18.0
2763678225,4604ac618d9731f8396a27304b1aa2cd773e421f,Agent,2.0,2.0,4.0
2763678225,613dd175ee591d40257940f18c74814e97d16083,Agent,22.0,19.0,41.0
2763678225,8c6883e5ee7756bc53f82e503b82016ed90fbbb4,Human,32.0,14.0,46.0
2763678225,b0d1d86c26c11dbf9787ee9ca6320c6ff8d043d1,Agent,70.0,83.0,153.0
2763678225,e0590e516f0e4cd2f1fdec5128d3d64934bf3818,Agent,1130.0,284.0,1414.0
2764665933,0fd0b5c74f942338558afb1839c398563e5e9d7b,Agent,383.0,102.0,485.0
2764665933,39bdc7e4d49a47881830e977b6dcb4b3dc4e9280,Agent,34.0,26.0,60.0
2764665933,5d3c34b3eaa729cf512c22fbf9d561d7d6573a9f,Agent,54.0,15.0,69.0
2764665933,8ec2eb7d72752a1fff2b2d53142e76d21d4ed820,Agent,98.0,33.0,131.0
2764665933,b0d545992af3780530f7a24131b8c7299b69ab97,Human,66.0,40.0,106.0
2764665933,bfb578d50632aac7d8ed60b7667b239a2cd11454,Agent,337.0,68.0,405.0
2764665933,c4a401b24708d843c882dfe30a9b84a78a9dea3a,Human,2.0,2.0,4.0
2764665933,cf2f21cbfb971591372e26499eead5b3c33e0cff,Human,2171.0,502.0,2673.0
2764665933,dec255e87a7ef3e8c2049e71d9d25975822c15a3,Agent,69.0,6.0,75.0
2764665933,f75b07ce826190996304db1f7572b140df4fac6e,Agent,6.0,0.0,6.0
2767796873,19bda64e9017e4e7ef3ff1d16ee0553c3869907a,Agent,162.0,144.0,306.0
2767796873,363674cf560db33f1ae417d6d23e7875edb3decb,Agent,388.0,49.0,437.0
2767796873,3bc2c91c7c5638f57856090979118ecdbbd827d9,Human,23.0,21.0,44.0
2767796873,43dfe7d578835dd9bee0f654bcacf21597e40c9b,Agent,39.0,14.0,53.0
2767796873,4fb6cb0fe0f314d2aa9bb6d557c567b29ad8831d,Human,6.0,82.0,88.0
2767796873,5ce666c497e1f51a69e4ea8031440fbb9f7870d1,Human,79.0,53.0,132.0
2767796873,67ea6ee8e1ff2f35d90aa4a3683f73d54af1b903,Human,1.0,1.0,2.0
2767796873,7ab269017b478f06404e9d68d3313d020581682a,Agent,167.0,63.0,230.0
2767796873,82664a89b49ce49a668c51e703a78f21b445f703,Agent,27.0,24.0,51.0
2767796873,bb93da0acfdcfabef9c6a3a240bf34e5306c2ce4,Human,87.0,66.0,153.0
2767796873,ca39894093c28cf7472408bbc488fdb989efeafc,Human,47.0,13.0,60.0
2767796873,ce09db175ce34e96243d12875f60210f6b88dccb,Human,44.0,27.0,71.0
2767796873,ceb4075a8da1913ba5819bada622d511dd56bf93,Agent,8.0,11.0,19.0
2767796873,d9f425f6b9f21eb781be872228ed60c8025c7bda,Human,67.0,81.0,148.0
2767796873,eacae868de397197d109898dc805bee90f3e48e6,Agent,16.0,0.0,16.0
2767796873,fd61b586d6fb028ef6304e3f540cf8740408cf47,Human,1.0,22.0,23.0
2767796873,fe382c7d403a296ffced6ca69a57577971b1bb4d,Agent,22.0,22.0,44.0
2770730384,0754575a439d465fc355ae01a7c8e92c4dd0eb36,Human,6.0,6.0,12.0
2770730384,1417801180301a1a03fb4af69efc19cd3b10c4a8,Agent,126.0,4.0,130.0
2770730384,2ddc340525e7c074f0a94b24ffed2085a09a739d,Human,1845.0,2.0,1847.0
2770730384,35e9275183e0487d70bad707f06a9aaca61909b0,Human,1883.0,1.0,1884.0
2770730384,3bffba8015bdce85848f53a57b34fe1561c4291a,Human,192.0,801.0,993.0
2770730384,3e459728f91cc33d01f403ebf99abf2ae90563d0,Human,1137.0,140.0,1277.0
2770730384,7ba976c2e5f0ce1d002a7e3f1cbaa40e585dafa7,Human,128.0,90.0,218.0
2770730384,81c0722b232d4c34676559dfd58d47e8c3c1865d,Human,990.0,41.0,1031.0
2770730384,88ecf08fb4f3b1c49ec9758fb3631548e39ee095,Human,2511.0,1340.0,3851.0
2770730384,93e1365d68f11edce8a4869947164ea84fd57d70,Human,23.0,750.0,773.0
2770730384,9722e83923bce113b77de126c7f50d5949874aeb,Human,149.0,807.0,956.0
2770730384,adb107553e9dc3b2f6b50f43de3c6e239c5ba7af,Human,1950.0,239.0,2189.0
2770730384,bd7bc6cafcf103c5a1bb3fd48e3922b789b951fc,Agent,0.0,36.0,36.0
2770730384,bda5aee30346cedc7993cf546ff94d4d16f63c61,Human,1097.0,96.0,1193.0
2770730384,c6d34da4f6ebffa9f12c21cf9ed856eba4997409,Human,1734.0,28.0,1762.0
2770730384,cb3cba670ee61c85b497aefc8282b32f1c4e2bad,Human,1791.0,2.0,1793.0
2770730384,eafcf85ec858d7a10fa2ab8f73618fce639f5540,Human,8.0,20.0,28.0
2770730384,f276a3f179d9f3302419cad8bff170c96c11866f,Human,1724.0,21.0,1745.0
2770730384,f28433238ab0b41e187ea225ce539e57c3b709e7,Human,2386.0,9.0,2395.0
2770730384,f6770be767204cf31bc5fa34c3a10a12621e790a,Human,1106.0,12.0,1118.0
2776793311,059afcae607b447caadeff198461774bd1348f1a,Human,9.0,0.0,9.0
2776793311,4c6e9848d3076fa7d3919189a2a56a10a5c7e8af,Agent,289.0,157.0,446.0
2776793311,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Human,9.0,9.0,18.0
2776793311,82ae1087c621ff00f38f111ff662bd03df879dfb,Human,208.0,76.0,284.0
2776793311,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Human,4853.0,225.0,5078.0
2776793311,fabd9f86b1b085dc939578cc5df11d0044668b48,Human,13.0,3.0,16.0
2776797524,059afcae607b447caadeff198461774bd1348f1a,Human,9.0,0.0,9.0
2776797524,72de66e1794c4a9da813ca2b27d36fb47d6fc570,Agent,289.0,157.0,446.0
2776797524,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Human,9.0,9.0,18.0
2776797524,82ae1087c621ff00f38f111ff662bd03df879dfb,Human,208.0,76.0,284.0
2776797524,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Human,4853.0,225.0,5078.0
2776797524,fabd9f86b1b085dc939578cc5df11d0044668b48,Human,13.0,3.0,16.0
2776825485,059afcae607b447caadeff198461774bd1348f1a,Human,9.0,0.0,9.0
2776825485,1fd1c5c718feb10580dc58df520fbfc9cfef0474,Agent,28.0,22.0,50.0
2776825485,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Human,9.0,9.0,18.0
2776825485,82ae1087c621ff00f38f111ff662bd03df879dfb,Human,208.0,76.0,284.0
2776825485,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Human,4853.0,225.0,5078.0
2776825485,d7b609cc5e173465493be485dcf66ea17d7b1a02,Agent,7045.0,5015.0,12060.0
2776825485,fabd9f86b1b085dc939578cc5df11d0044668b48,Human,13.0,3.0,16.0
2776831778,059afcae607b447caadeff198461774bd1348f1a,Human,9.0,0.0,9.0
2776831778,6ed08d003c45d17c2698dc454275e1cb56e359d8,Agent,288.0,157.0,445.0
2776831778,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Human,9.0,9.0,18.0
2776831778,82ae1087c621ff00f38f111ff662bd03df879dfb,Human,208.0,76.0,284.0
2776831778,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Human,4853.0,225.0,5078.0
2776831778,c4ce06b3adca89e259024abfed8c509b63b9953c,Human,2.0,1.0,3.0
2776831778,fabd9f86b1b085dc939578cc5df11d0044668b48,Human,13.0,3.0,16.0
2777919004,18b89db42d8f2e34a4228c34fbfaf5bfeed1b3be,Human,29.0,1.0,30.0
2777919004,377630c746b33cf6c4b19794ddbed07f51184046,Human,19.0,6.0,25.0
2777919004,63930491ba997b73520a8a1a0c06b21534e9aa8c,Agent,492.0,452.0,944.0
2777919004,8bc18bcf24d7f40b41a83bf33fd68302b8b1cbab,Agent,87.0,68.0,155.0
2777919004,b06744161a5564d812cbf637232ea4c0c9f48ccb,Agent,93.0,72.0,165.0
2777919004,d609fd0bcaab3e4f35d671e8020225e5c874fa85,Agent,13.0,2.0,15.0
2782215003,0118359da31db9d12359897eda927645d4c1adb4,Agent,23.0,23.0,46.0
2782215003,1896b3fe3f79716f9097653650443eab2ca64a2b,Human,2.0,5.0,7.0
2782215003,5fb2cedfd19a83b170b4713ce73628b849074673,Agent,127.0,0.0,127.0
2782215003,64152276039629f5e9f7d9f4172bcdb8ab255ae3,Agent,371.0,2.0,373.0
2782215003,6e3b6742c79611f94eb5f718c7229164937c0aa4,Human,439.0,511.0,950.0
2782215003,aa317b10ba1ee17de795c0c8cd425197b921d397,Human,11.0,29.0,40.0
2782215003,af25d9eeda43605865445b1d43cce203be57c236,Human,15.0,13.0,28.0
2783286259,0b3bc08b7b339d19c273c9e625c4ceb5b0aa33ec,Human,193.0,87.0,280.0
2783286259,0de67e7818c2b60d624a00e27cfc24713b2947d2,Human,144.0,74.0,218.0
2783286259,2928f018154c3e62dcd0052c4bde25cebaa3cf84,Agent,121.0,0.0,121.0
2783286259,2f38a95becb033aeda0a5eed04918bdcad8460e7,Human,90.0,64.0,154.0
2783286259,3b257b8bc7d6958635314de2990cd37d52914310,Human,167.0,12.0,179.0
2783286259,4ace5b539ad530113f61ba2a82b9a1c1ca48eb34,Agent,460.0,592.0,1052.0
2783286259,4c9b44cdebccf52c3145037050193b06dbbedf50,Human,58.0,40.0,98.0
2783286259,522e68a4d2ae10cc4b452a4da6c52601af7ff43e,Agent,82.0,24.0,106.0
2783286259,8f7c7df8648a992a2865ff0b249c3119f6a9dd03,Agent,6.0,1.0,7.0
2783286259,92d8c378084c7714573c1ef2367d739c6b8846e5,Agent,220.0,0.0,220.0
2783286259,b2af0b88fa67464b3ccc9aaa31178abcd15f7c7c,Agent,91.0,9.0,100.0
2783286259,c46cbcaad7fdbf225febfeb1edc194ffafc11c43,Human,0.0,1.0,1.0
2784488870,090b965e1887c8b39fbf863729d6debdd1c9cfa5,Human,22.0,0.0,22.0
2784488870,dbddc27b1c53d2f12c3fb036d9937b642d071e5b,Agent,5.0,1.0,6.0
2788087431,52821eceac001fd37888be9eaebdea6b14533b33,Agent,48.0,6.0,54.0
2788087431,5501faa43cb83498034ccc4a3c625b7cec82a559,Agent,25.0,37.0,62.0
2788087431,59bafa9ab91d0e36dd8ec44579bdf18deff951e1,Human,24.0,10.0,34.0
2788087431,73dbb88f1244d5ba71109efeb37710546b864e19,Agent,8.0,2.0,10.0
2788087431,7906feb07c1b2777bd3f5c0fca6896c0183cdb26,Agent,31.0,2.0,33.0
2788087431,8b6de1e17a652094f332f734cb024e6bb95031b8,Agent,28.0,20.0,48.0
2788087431,ae65f70e03322d073c75fcc16f7f4f3ef0da201c,Agent,81.0,41.0,122.0
2788087431,d167ddf6395100d3a0869f4b5a88a72f930352e0,Agent,21.0,18.0,39.0
2791079062,062310acc77bb024828a112bda3f929402b4e5c2,Agent,1.0,0.0,1.0
2791079062,2760ec0ee12c2453f28ae301035684f2b9a286d2,Agent,10.0,10.0,20.0
2791079062,b7882b67071cae9a8d7cc6f7bf59cea3a224bea1,Agent,51.0,0.0,51.0
2791079062,fc1d21700c690930bbce492ee7c543315cedb880,Human,1.0,0.0,1.0
2793293460,2497f27b2488d60c4a4eff31c810b6a1ef480540,Agent,13.0,7.0,20.0
2793293460,29a204a7900d691fdc5008dfb3e74c80c61e90b4,Agent,113.0,0.0,113.0
2793293460,fcc2e022038a901d99aa7120e6fe75588e29ea3d,Human,119.0,119.0,238.0
2796009360,38e7c1c08883bb572154b6f6a6a3188af6389757,Human,48.0,16.0,64.0
2796009360,40f5679f2c1773dfa5a06859e7e44535190aca00,Agent,88.0,56.0,144.0
2796059303,0edfb31d5c73c0d8d8a5469ea52d5062bdb7f455,Human,14.0,5.0,19.0
2796059303,38f6945bc0bd71920a0368fea129c5f61d7d74d3,Agent,116.0,32.0,148.0
2796059303,f22f7bad787204e5535b1102e7a75e413e651325,Agent,52.0,60.0,112.0
2797405312,063d52fc7539077a4703fc61ac132a7c25d8854e,Human,1.0,1.0,2.0
2797405312,4a6d72c6ea41aa5baf9c82b799ce27b2f476694a,Human,9.0,5.0,14.0
2797405312,51458d49aabed7f8823f21c3fd52ed82fb483e0d,Human,0.0,12.0,12.0
2797405312,5e3d2d94087531a3a0804d765f9be265b24a8c9a,Human,1.0,1.0,2.0
2797405312,84c538f0b0e0159cfcb8e772eeb430d6e094eb28,Human,188.0,2.0,190.0
2797405312,8ad91a59cdc69e4a53d0a0de88483c53c99d3628,Human,6.0,15.0,21.0
2797405312,95e3be26ce04672ee508663fec8412c19a326986,Human,133.0,108.0,241.0
2797405312,963d0ff3c13a7af2e4661ac1433e9af4cee29c57,Agent,13.0,31.0,44.0
2797405312,af4d9fd5958ef211f54d7bfac06a120d37b89a73,Human,26.0,16.0,42.0
2797405312,df59c6659f2975435cadcc0bd485778f62e81903,Human,198.0,134.0,332.0
2797482849,44b92ef12f5f47f328267eedcc3d4c53a869de6c,Agent,55.0,6.0,61.0
2797482849,4f4f229a0b0516dab425d501053f7ef55273bf39,Agent,3.0,2.0,5.0
2797482849,89b5edf6b2ff1899e2b616ac22b249a55456bce6,Agent,3.0,2.0,5.0
2797482849,968e0f504bd021baf23815a095d5efa4bc660545,Agent,26.0,18.0,44.0
2797482849,b5c26aeadd631cf7c8fb1cef4ff1057717f2b901,Agent,55.0,6.0,61.0
2797482849,b75ef482bf660499c5057a910a45693f3d6f77af,Human,26.0,18.0,44.0
2797482849,ce6747b9676e5aa7f5ed2335e4becd3501efe387,Agent,1.0,0.0,1.0
2797482849,db626ec99d514aeccb0b7e032db15b5071664a82,Agent,1.0,0.0,1.0
2798302866,1080e6d3e0e11ed8ae926ba588c0b70e4c84e28f,Human,11.0,13.0,24.0
2798302866,1985999449aebc97226e41ca2eca3ed9321dde9b,Human,17.0,24.0,41.0
2798302866,2babc3f9ea882597d09c7b57f5121ab3b28f8862,Agent,66.0,3.0,69.0
2798302866,3d811955ed1c16e588a38f837b69f8df3a82de6b,Human,24.0,6.0,30.0
2798302866,4dbcacd53832ecff10de70797436315de7e51c56,Human,3.0,6.0,9.0
2798302866,7ddf9d4fa2a2acf0a68e63a9a3b6f862bf254ef1,Agent,108.0,1.0,109.0
2798302866,87b8ae3ac0b5f476a6eff37d9b82dc5f11a8d52e,Agent,45.0,170.0,215.0
2798302866,96f31da31db038fe2366216564f52cafd25d7948,Agent,0.0,104.0,104.0
2798302866,e38bc4eae17bc861acf97399d19cdfbcff8b24f0,Agent,73.0,38.0,111.0
2798302866,f7ad4430bf122fe3f9f78f876d16f94f5d6c5b07,Human,79.0,2.0,81.0
