Final_label,Closed,Merged
Code Cleanup,7.614213197969543,10.175438596491228
Code Convention Conformance,8.375634517766498,4.2105263157894735
Documentation,4.060913705583756,11.929824561403509
Feature Completion or Extension,15.736040609137056,9.824561403508772
Functional Correctness Repair,24.873096446700508,23.50877192982456
Other,0.5076142131979695,1.4035087719298245
Project Integration and Environment Maintenance,15.48223350253807,10.526315789473685
Rollback or Reversion,2.030456852791878,2.456140350877193
Structural Refactoring,4.060913705583756,4.56140350877193
Test and Validation Adjustment,9.390862944162437,10.175438596491228
User-Facing Interface and Interaction Refinement,7.106598984771574,9.824561403508772
Version-Control Conflict Resolution,0.7614213197969543,1.4035087719298245
